   	id	num	rop	 +	 -	 *	 /	 %	 =	->	 !	 .	 ,	 &	++	--	+=	-=	 (	 )	 {	 }	 [	 ]	 :	 ;	 "	 '	 #	 |	 \	if	else	while	do	for	include	define	typedef	struct	int	char	float	double	void	return	case	then	true	false	||	&&	eof	 $	
 42	e	e	r15	r15	r15	r15	r15	e	e	e	e	e	e	e	e	e	e	e	e	r15	e	r15	e	e	e	r15	e	e	e	e	e	e	r15	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	r15	r15	e	r15	
 43	e	e	r 8	r 8	r 8	s32	s33	e	e	e	e	e	e	e	e	e	e	e	e	r 8	e	r 8	e	e	e	r 8	e	e	e	e	e	e	r 8	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	r 8	r 8	e	r 8	
 44	e	e	r 9	r 9	r 9	s32	s33	e	e	e	e	e	e	e	e	e	e	e	e	r 9	e	r 9	e	e	e	r 9	e	e	e	e	e	e	r 9	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	r 9	r 9	e	r 9	
 45	e	e	r11	r11	r11	r11	r11	e	e	e	e	e	e	e	e	e	e	e	e	r11	e	r11	e	e	e	r11	e	e	e	e	e	e	r11	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	r11	r11	e	r11	
 46	e	e	r12	r12	r12	r12	r12	e	e	e	e	e	e	e	e	e	e	e	e	r12	e	r12	e	e	e	r12	e	e	e	e	e	e	r12	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	r12	r12	e	r12	
 47	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	r23	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	r23	r23	e	e	
 48	e	e	e	s30	s31	e	e	e	e	e	e	e	e	e	e	e	e	e	e	r22	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	r22	r22	e	e	
 49	s 1	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	s 2	e	e	e	e	e	e	e	e	e	e	s 3	e	s 4	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	
 50	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	r17	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	r17	s40	e	e	
 51	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	r19	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	r19	r19	e	e	
 52	s 1	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	s 2	e	e	e	e	e	e	e	e	e	e	s 3	e	s 4	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	
 53	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	s55	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	
 54	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	r 6	e	e	e	r 6	e	e	e	e	e	e	r 6	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	r 6	
 55	s 1	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	s 2	e	e	e	e	e	e	e	e	e	e	s 3	e	s 4	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	
 56	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	r 5	e	e	e	r 5	e	e	e	e	e	e	r 5	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	r 5	
